Name,Gender,Month,Year,Family Background,Product Name,Product Type,Price,Shop Name,Brands,Mode of Payment,Occupation,Salary,Net Worth,Education,State,City
Samuel Smith,Female,November,2008,Upper Class,successful,Grocery,121.59,Wang Inc,Brand A,Debit Card,Actor,117191.9,8865596.46,PhD,West Virginia,Torreschester
Kimberly Farmer,Male,January,1993,Upper Class,people,Household,168.4,Macdonald LLC,Brand A,Debit Card,Television production assistant,103878.27,9396625.35,High School,Delaware,Christianburgh
Christine Mullen,Female,April,2011,Upper Middle Class,whether,Personal Care,16.22,Lambert Group,Brand B,Cash,Estate agent,74463.6,4489492.55,High School,North Dakota,Davidberg
Troy Howard,Male,June,1981,Upper Middle Class,best,Personal Care,172.54,Brooks-Terry,Brand D,Credit Card,Horticultural consultant,41922.55,6888234.63,PhD,Arizona,Stephaniemouth
Megan Terry,Female,April,2016,Upper Middle Class,offer,Household,21.5,"Richards, Moore and Ryan",Brand B,Debit Card,"Physicist, medical",63105.77,9685248.07,High School,Virginia,Sherrishire
Joel Gomez Jr.,Female,June,1989,Upper Class,matter,Personal Care,27.42,Perez-Erickson,Brand D,Cash,Financial adviser,55452.7,6430979.89,Master,Utah,Wagnermouth
Harry Owens,Male,December,1995,Upper Middle Class,sister,Grocery,19.61,Gay Inc,Brand B,Credit Card,Archivist,70021.1,9889326.95,High School,Montana,Jeffreytown
Sandra George,Male,February,2011,Upper Class,these,Electronics,23.04,"White, Pineda and Harris",Brand B,Cash,Customer service manager,121818.89,2150857.97,Bachelor,Colorado,East Andrewport
Steven Mcfarland,Male,April,2003,Middle Class,program,Grocery,164.48,Adams Group,Brand B,Cash,Theatre director,57959.84,7766248.92,High School,Montana,Anthonyview
Dale Monroe,Male,December,2006,Middle Class,difficult,Electronics,62.68,"Malone, Powell and Boyd",Brand C,Credit Card,Jewellery designer,148083.38,9876520.31,High School,Connecticut,Changbury
George Hood,Female,August,1987,Upper Class,sign,Electronics,161.72,"Lopez, Casey and Mccarty",Brand B,Debit Card,Advertising copywriter,43191.16,8677834.1,High School,New Mexico,South Jeffrey
Ashley Odom,Male,March,1990,Upper Class,full,Electronics,12.82,Horn and Sons,Brand C,Debit Card,Research scientist (life sciences),124798.16,2455522.9,PhD,Mississippi,Holmesport
Amanda Clay,Female,July,1970,Upper Class,evidence,Personal Care,13.0,Johnson-Freeman,Brand D,Cash,Cytogeneticist,61844.1,1354909.58,Master,Maine,North Craig
Jeremy Perry,Female,September,2014,Middle Class,water,Electronics,109.96,Clark Ltd,Brand C,Debit Card,Wellsite geologist,119479.83,4814835.06,High School,California,Lesliefort
Gabriel Romero,Female,October,1985,Upper Class,leg,Electronics,107.52,Davis LLC,Brand D,Cash,"Development worker, international aid",43086.48,5088003.03,Master,North Carolina,South Teresaburgh
Frederick Lopez,Male,September,1978,Upper Class,expert,Personal Care,148.18,Keller PLC,Brand B,Debit Card,Field seismologist,139050.2,6623140.43,PhD,South Carolina,Jackbury
Robert Dixon,Female,October,2022,Upper Middle Class,top,Personal Care,97.03,Hoffman-Watkins,Brand A,Cash,Dentist,145683.14,702171.53,Bachelor,Washington,Merrittberg
Karen Barnes,Female,February,2008,Middle Class,meet,Household,170.99,Thomas-Davis,Brand C,Credit Card,Social worker,81152.83,1168822.11,PhD,New Mexico,Fullerstad
Candice Williams,Female,April,1984,Middle Class,thought,Grocery,23.96,"Garza, Deleon and Hodges",Brand A,Credit Card,Medical illustrator,39694.86,6122144.49,High School,North Carolina,Port Chelseafurt
Paul Munoz,Male,August,2015,Upper Class,against,Household,33.98,Green Group,Brand D,Debit Card,Best boy,104918.1,5895110.42,Bachelor,Indiana,New Tiffanyport
Kristen Hudson,Female,December,2021,Middle Class,another,Electronics,82.37,Potts-Martinez,Brand A,Cash,"Teacher, early years/pre",101687.02,3019487.68,High School,Delaware,New Elizabethland
Linda Romero,Female,February,1997,Upper Class,black,Personal Care,28.84,Carter-Montgomery,Brand C,Credit Card,Medical sales representative,114213.53,8542648.1,High School,Indiana,Port Harry
Donald Hernandez,Male,September,1995,Upper Class,instead,Personal Care,91.71,"Martinez, Lambert and Baker",Brand A,Debit Card,"Surveyor, land/geomatics",136570.92,4196754.35,High School,California,Lake Tonyshire
Christian Rogers,Female,May,1979,Middle Class,another,Household,85.76,Padilla-Jackson,Brand A,Credit Card,"Engineer, maintenance",117553.5,3194228.66,Master,Missouri,Port Courtney
Mary Moore,Female,December,1977,Middle Class,finish,Electronics,136.37,Myers-Rodgers,Brand B,Debit Card,"Scientist, marine",74916.12,1611125.36,High School,Alabama,Markland
April Johnson,Female,June,2000,Middle Class,law,Household,22.76,"Graham, Fletcher and Anderson",Brand A,Cash,Clinical embryologist,129812.63,1022978.01,High School,West Virginia,Lake Kaylaton
Natasha Mercer,Male,December,1998,Middle Class,scientist,Electronics,151.47,Gallagher-Taylor,Brand D,Credit Card,"Scientist, physiological",74717.62,1388142.99,High School,Mississippi,West Robertshire
Heather Hartman,Male,December,2007,Upper Middle Class,ever,Electronics,121.43,Anderson and Sons,Brand D,Debit Card,Geochemist,97390.37,3363495.22,High School,South Carolina,Nathanielbury
Molly Allison,Male,September,1973,Middle Class,per,Electronics,88.05,"Adams, Kelly and Beck",Brand D,Debit Card,Health and safety adviser,134832.88,9417185.7,High School,Wyoming,Lake Kevinville
Jason Alvarez MD,Female,June,1986,Upper Middle Class,easy,Household,174.94,Garza-Morris,Brand D,Debit Card,"Administrator, local government",116527.28,9687146.39,Master,South Carolina,South Lisachester
Gregory Conner,Female,May,2004,Upper Middle Class,role,Household,76.81,"Love, Robinson and Hernandez",Brand C,Debit Card,Physiological scientist,99350.22,2206114.18,PhD,Oregon,West Matthewton
Jennifer Moss,Female,January,2002,Upper Middle Class,tell,Grocery,52.61,Page-Terry,Brand A,Cash,"Designer, textile",42986.21,8469196.84,PhD,Georgia,Smithmouth
Theresa Mccormick,Female,July,2014,Upper Class,theory,Electronics,31.83,Conner-Roberts,Brand D,Debit Card,"Production designer, theatre/television/film",63428.19,2338975.03,High School,Missouri,Donaldfort
Kimberly Wilson,Female,February,2017,Upper Middle Class,join,Electronics,170.58,Zavala-Booker,Brand A,Credit Card,Best boy,146945.59,8202425.91,Master,Tennessee,West Timothymouth
James Moss,Male,June,1990,Upper Class,population,Household,125.71,Williams-Jones,Brand C,Debit Card,Firefighter,108939.75,6965364.76,Master,Missouri,Robertland
Tony Reed,Male,February,2012,Middle Class,surface,Electronics,44.28,Perez Ltd,Brand C,Credit Card,Jewellery designer,114323.85,3158948.42,High School,South Carolina,North Tonyamouth
Samantha Chase MD,Female,January,1991,Upper Class,while,Grocery,76.69,Castillo and Sons,Brand C,Cash,Data scientist,51768.67,1518189.75,Master,South Carolina,Smithton
Abigail Murray,Female,July,1977,Middle Class,consumer,Grocery,23.22,Martin-Wilson,Brand B,Debit Card,Set designer,118916.29,9720922.16,Bachelor,New Hampshire,North Andrew
Sandra Wagner,Male,December,2023,Upper Class,vote,Personal Care,151.76,"Nelson, Lucas and Williams",Brand D,Cash,Art gallery manager,55815.95,4256341.69,Bachelor,New Mexico,West Brian
Isabella Allen,Female,July,1979,Middle Class,whatever,Personal Care,39.91,"Harper, Davis and Clark",Brand A,Debit Card,"Geneticist, molecular",67396.48,3311390.63,High School,Nebraska,Forbesside
Morgan Harris,Male,June,2000,Middle Class,again,Household,177.84,Moore-Wilson,Brand A,Cash,Theatre stage manager,48669.59,7568915.2,High School,New Jersey,Emmaberg
Melissa Johnson,Male,December,2019,Middle Class,station,Personal Care,138.05,Thornton-Martinez,Brand D,Cash,Insurance risk surveyor,62652.34,6653193.06,High School,Michigan,New Elizabeth
Vanessa Stewart,Female,August,1987,Upper Middle Class,offer,Household,125.34,Mclean Ltd,Brand C,Debit Card,Audiological scientist,79702.05,2234132.76,Bachelor,California,South Robertfurt
Steven Mccall,Male,August,1995,Upper Class,shoulder,Personal Care,75.58,"Thompson, Gibson and Long",Brand B,Debit Card,"Scientist, product/process development",43306.77,6814357.14,High School,Alabama,Wayneshire
Nicholas Wagner,Female,April,1985,Upper Middle Class,treatment,Electronics,110.12,"Brooks, Bird and Brown",Brand B,Debit Card,Contracting civil engineer,67010.33,2283132.51,High School,Arkansas,Danielburgh
Darren Ayala,Male,September,2023,Upper Middle Class,difference,Electronics,11.46,"Douglas, Hampton and Lucas",Brand D,Credit Card,Secondary school teacher,66170.32,2191216.39,High School,Rhode Island,Kimside
Meagan Reynolds,Male,August,2021,Upper Middle Class,month,Electronics,155.19,Harrison-Collins,Brand C,Cash,Press sub,64733.66,1287845.0,PhD,Texas,North Brett
Alice Smith,Female,January,1991,Upper Middle Class,program,Grocery,151.93,"Smith, Hutchinson and Randall",Brand D,Cash,"Programmer, systems",51083.38,3864053.71,PhD,Missouri,Jonesshire
Dylan Stafford,Male,February,1977,Middle Class,lot,Personal Care,105.05,"Navarro, Brown and Ramirez",Brand A,Credit Card,"Engineer, automotive",130002.5,8081381.85,Bachelor,Ohio,South Danachester
Joseph Lindsey,Male,February,1971,Upper Class,every,Electronics,85.44,"Herrera, Baker and Holland",Brand C,Debit Card,Animal technologist,119044.96,4418574.0,High School,Georgia,Stoutview
Phillip Herrera,Female,February,2019,Upper Class,low,Grocery,185.02,"Schmidt, Cole and Sanders",Brand A,Credit Card,Research scientist (maths),133453.2,5800015.69,PhD,Oregon,New Michael
Sonya Paul,Female,March,2015,Middle Class,her,Household,144.8,Robbins-Carpenter,Brand C,Debit Card,Nature conservation officer,80123.28,1240216.39,Master,Idaho,North Laurenville
Lauren Brown,Male,November,1979,Middle Class,might,Personal Care,193.58,"Davis, Torres and Williams",Brand A,Debit Card,Audiological scientist,50624.78,9481381.66,Bachelor,Connecticut,New Jeffrey
Jordan Johnson,Female,December,1981,Upper Middle Class,few,Electronics,168.08,"Foley, Scott and Peterson",Brand C,Cash,"Accountant, chartered certified",140372.37,972485.82,High School,Connecticut,Taylormouth
Dustin Fowler,Male,June,1999,Upper Class,play,Personal Care,56.23,Fisher-Griffin,Brand C,Debit Card,"Development worker, international aid",100664.55,5287229.18,Master,New Mexico,West Coreyview
Dominique Watson,Female,March,2005,Upper Class,herself,Personal Care,175.4,Hogan Group,Brand C,Cash,"Radiographer, diagnostic",119496.58,2293563.38,High School,Alaska,Greenmouth
Brandon Barnes,Male,April,1988,Upper Class,inside,Household,24.51,Peterson-Hunter,Brand C,Debit Card,Software engineer,105986.96,5352987.73,PhD,South Dakota,South Jeremy
Jose Santos,Male,March,1988,Upper Middle Class,investment,Household,182.13,"Mathis, Mccarthy and Hudson",Brand B,Debit Card,Merchant navy officer,71925.03,7301053.15,Bachelor,South Carolina,Reynoldsport
Destiny Garcia,Male,December,2006,Upper Middle Class,staff,Grocery,54.89,Carlson-Robertson,Brand C,Cash,"Librarian, public",47573.31,2052990.85,Bachelor,Rhode Island,North Rachelside
Colin Garza,Male,January,2003,Middle Class,address,Personal Care,154.44,"Dennis, Carrillo and Sandoval",Brand D,Credit Card,Legal secretary,108661.08,1853746.68,Master,Alabama,Debrabury
Sean Roman,Female,August,1986,Upper Middle Class,executive,Household,98.15,Simmons-Leblanc,Brand B,Debit Card,Nutritional therapist,97648.26,5836734.09,PhD,Mississippi,West Coreyburgh
Brittany Olson,Female,March,2008,Upper Class,parent,Personal Care,174.21,Smith-Scott,Brand C,Debit Card,"Psychologist, clinical",105266.09,1594478.27,High School,Washington,Smithshire
Laura Hooper,Male,March,2006,Upper Class,present,Household,99.1,Hernandez-French,Brand A,Credit Card,Press photographer,105766.21,7983663.82,PhD,Hawaii,West Kathryn
Mrs. Amanda Johnson,Male,June,2015,Upper Middle Class,direction,Electronics,76.87,Ortiz-Hardy,Brand B,Debit Card,"Horticulturist, amenity",38902.88,4671250.62,Master,Wisconsin,Caroltown
Crystal Silva,Male,June,1978,Middle Class,field,Household,20.81,"Bishop, Baker and Garrison",Brand D,Credit Card,"Administrator, charities/voluntary organisations",129803.6,859636.91,PhD,Illinois,Michaelhaven
Paul Freeman,Male,July,2000,Middle Class,history,Electronics,126.85,Bullock PLC,Brand C,Debit Card,Health visitor,90848.14,4680845.42,PhD,Rhode Island,Cynthiaville
Heather Torres,Male,November,1973,Upper Middle Class,shake,Personal Care,95.45,Bailey Group,Brand A,Credit Card,Personnel officer,127177.91,6553190.8,Master,Delaware,South Debra
Alicia Jacobs,Female,May,2003,Upper Middle Class,Congress,Household,124.95,"Peters, Brown and Escobar",Brand D,Debit Card,Clinical cytogeneticist,90164.08,9581451.35,Bachelor,Connecticut,North Savannah
Frederick Davidson,Female,May,2019,Middle Class,look,Electronics,29.67,Cooper Ltd,Brand D,Cash,"Sales professional, IT",137895.22,3500033.98,High School,Minnesota,Figueroaland
Nicole Rogers,Male,May,1980,Upper Class,customer,Electronics,105.86,Cooley Group,Brand B,Credit Card,"Engineer, materials",50707.07,2552662.86,Master,Michigan,New Anthony
Tammy Martinez,Female,April,1994,Middle Class,could,Personal Care,198.29,"Thomas, Lopez and Bishop",Brand B,Credit Card,Insurance risk surveyor,92888.23,6137073.52,High School,Arkansas,Wolfside
Robert Larson,Female,September,1996,Middle Class,because,Grocery,80.84,Hernandez Group,Brand C,Cash,English as a foreign language teacher,63947.23,4146817.03,Master,Massachusetts,Jamesmouth
Richard Walters,Female,December,2001,Upper Middle Class,because,Grocery,138.99,"Kim, Colon and Wood",Brand D,Debit Card,"Buyer, industrial",36283.86,6345777.09,PhD,Oklahoma,Kristifort
Joseph Woods,Female,April,2000,Upper Middle Class,before,Personal Care,22.52,Evans PLC,Brand D,Credit Card,"Geneticist, molecular",41340.71,6815955.51,PhD,Connecticut,Port Steven
Tyler Anderson,Female,September,1996,Middle Class,sport,Personal Care,57.88,Hunter-King,Brand D,Debit Card,Database administrator,132187.95,9647659.28,Bachelor,Arizona,South Beverlymouth
Sandra Bridges,Male,February,2016,Upper Class,son,Electronics,73.34,Burnett Inc,Brand B,Cash,Investment analyst,99928.74,1500140.97,PhD,Illinois,Port Nathanielshire
Michael Mays,Female,February,1982,Middle Class,read,Grocery,68.94,"Lopez, Mejia and Preston",Brand C,Debit Card,Multimedia specialist,108726.57,6655138.05,Bachelor,Utah,Chadmouth
Michelle Spears,Male,July,2006,Upper Class,know,Electronics,123.06,Whitaker-Marsh,Brand D,Debit Card,Health physicist,142560.26,3164860.69,High School,Missouri,East Brandi
Jack Garcia,Female,June,1994,Middle Class,impact,Household,132.26,"Calhoun, Valencia and Preston",Brand D,Debit Card,Music therapist,69417.19,1365158.26,PhD,Mississippi,Mirandafurt
Deborah Wang,Male,March,2000,Middle Class,within,Grocery,132.74,"Howard, Sullivan and White",Brand B,Debit Card,Retail manager,80808.76,3682098.15,Bachelor,Indiana,Mendezfort
Wendy Mendoza,Female,September,1980,Middle Class,rule,Electronics,68.68,Flores-Vaughan,Brand B,Debit Card,Further education lecturer,144140.32,3483150.22,High School,Nebraska,East Scottborough
Jonathan Mckee,Female,January,1984,Middle Class,too,Grocery,46.48,Savage and Sons,Brand B,Debit Card,Chief Executive Officer,149997.19,1633957.21,PhD,Minnesota,Tranton
Patrick Hurst,Female,April,2008,Upper Middle Class,point,Household,170.44,"Schultz, Myers and Nguyen",Brand D,Debit Card,"Engineer, production",42136.89,7731659.73,PhD,Oregon,Lake Michael
Dominique Lopez,Male,February,1975,Middle Class,arm,Household,135.77,Watts-Ford,Brand C,Debit Card,Environmental manager,135167.13,6218511.51,Bachelor,Tennessee,West Teresaland
Rick Carlson,Female,September,1981,Upper Middle Class,far,Personal Care,39.31,Fitzgerald-Jordan,Brand C,Debit Card,Museum/gallery conservator,51701.52,6959171.84,Master,Virginia,Aaronfort
Teresa Austin,Male,May,1996,Upper Class,least,Personal Care,147.02,Jones PLC,Brand C,Credit Card,"Engineer, structural",35243.09,3706564.2,PhD,New York,Seanchester
Robert Stevens,Male,May,1992,Upper Class,who,Electronics,194.22,Little and Sons,Brand A,Credit Card,Biomedical engineer,103271.45,7548672.53,PhD,Alabama,Deanton
Emily Jones,Female,January,1992,Middle Class,condition,Household,54.46,Velazquez PLC,Brand A,Cash,Risk analyst,58700.22,9659406.71,PhD,Georgia,Jacksonburgh
Richard Greene,Female,July,1978,Upper Class,former,Household,181.76,Foster Group,Brand B,Credit Card,Publishing copy,53281.94,6815237.57,High School,Rhode Island,West Brendaton
Amanda Scott,Female,May,2015,Middle Class,democratic,Personal Care,97.72,"Fernandez, Perry and Fox",Brand C,Credit Card,Press sub,63812.61,3880537.1,Bachelor,Hawaii,Danielhaven
Mary Davis,Female,February,1981,Middle Class,country,Personal Care,193.59,Deleon Ltd,Brand D,Credit Card,Analytical chemist,128026.95,8032466.32,Bachelor,Delaware,New Laura
Tina Cantrell,Male,April,1984,Upper Middle Class,goal,Electronics,175.87,Malone Ltd,Brand C,Credit Card,"Programmer, systems",36261.58,4857847.49,High School,Hawaii,West Victoriaberg
Laura Perry,Female,February,1983,Upper Class,cover,Electronics,115.36,"Moore, Moses and Diaz",Brand B,Debit Card,"Teacher, special educational needs",42310.77,8474333.54,High School,Delaware,East Shannon
Donald Brown,Male,October,1981,Upper Class,space,Electronics,64.16,"Johnson, Powell and Rogers",Brand C,Cash,Pensions consultant,121574.02,2800633.87,Bachelor,California,Brittanychester
Peggy Smith,Male,February,2003,Upper Class,step,Household,167.9,"Ellis, Simpson and Perez",Brand C,Cash,"Therapist, sports",41005.63,9113999.04,High School,Rhode Island,Brianshire
Steven Hester,Female,December,1998,Upper Class,born,Electronics,178.08,"Wilkinson, Sanders and Henson",Brand D,Credit Card,Geophysicist/field seismologist,141656.63,4207479.37,High School,Vermont,West Scott
James Atkinson,Female,April,2002,Middle Class,sport,Personal Care,105.38,Norris LLC,Brand C,Cash,"Education officer, museum",58293.37,9945800.98,High School,Kentucky,Scottport
Melissa Cowan,Female,August,2006,Upper Class,know,Personal Care,52.66,"Collins, Murphy and Mora",Brand A,Cash,Theatre director,68242.19,1080922.93,High School,Wisconsin,East Samuel
Curtis Wood,Female,September,2000,Upper Class,pay,Electronics,160.36,Jones LLC,Brand A,Debit Card,Accommodation manager,46511.95,2940106.03,Master,Illinois,Port George
Nicole Gallegos,Female,May,1983,Middle Class,our,Household,142.25,Salazar-Stephens,Brand D,Debit Card,Careers adviser,46655.12,7084808.14,Master,Tennessee,South Julieport
Brenda Park,Female,July,1999,Upper Middle Class,bank,Household,126.92,Wood Ltd,Brand C,Cash,Clothing/textile technologist,138702.9,288138.46,Master,Arkansas,Port Craig
Dustin Collins,Male,August,1986,Upper Middle Class,any,Personal Care,168.64,Soto-Jackson,Brand C,Debit Card,"Engineer, maintenance",95856.51,7299624.37,Master,Virginia,South Charlestown
Darryl Brown,Female,June,2009,Upper Class,we,Grocery,31.13,Williams Inc,Brand C,Cash,Lawyer,64572.19,3081396.83,Bachelor,Arkansas,Katherinemouth
Arthur Cantu,Male,June,1996,Upper Class,practice,Household,55.3,Mathis Ltd,Brand C,Debit Card,Museum education officer,106674.21,6265824.63,Master,Minnesota,Brandyshire
Kathy Patterson,Male,November,2023,Middle Class,entire,Personal Care,31.06,Cook PLC,Brand C,Debit Card,Psychiatric nurse,138617.63,6007716.52,Bachelor,Montana,Port Tinafort
Daniel Cervantes,Male,November,1980,Upper Class,our,Electronics,130.07,Wood and Sons,Brand A,Cash,Minerals surveyor,99005.69,7213588.85,Bachelor,Kentucky,East Lori
Kathleen Miller,Female,April,2009,Upper Class,turn,Grocery,91.56,"Gross, Guerra and Carlson",Brand B,Cash,Consulting civil engineer,103777.15,2481585.96,PhD,Utah,Abbottberg
Ms. Sarah Adams,Female,March,2003,Middle Class,life,Electronics,45.59,Reyes Group,Brand C,Credit Card,Human resources officer,110185.79,5282497.12,PhD,Colorado,South Patricia
Crystal Porter,Female,August,1970,Upper Class,also,Electronics,22.86,Choi PLC,Brand C,Credit Card,Location manager,93127.13,5122544.2,High School,Arkansas,Port Jason
Emily Lawson,Male,November,2022,Upper Class,tonight,Household,84.19,Oliver and Sons,Brand C,Credit Card,Speech and language therapist,86416.21,6393140.84,PhD,Colorado,Tiffanyhaven
Joel Huang,Female,September,2014,Upper Middle Class,admit,Electronics,58.19,Hall-Wood,Brand A,Cash,Tour manager,31949.07,7906348.16,Master,Nebraska,Davidfurt
Michael Mckay,Female,September,1972,Middle Class,blood,Grocery,55.81,"Porter, Simpson and Arias",Brand C,Cash,Radiation protection practitioner,108852.53,1126272.29,PhD,New Hampshire,East Angelaland
Samuel Roberts,Female,July,1978,Middle Class,represent,Personal Care,35.35,Clark and Sons,Brand D,Cash,"Civil engineer, consulting",72275.89,3451617.86,Bachelor,Kansas,Lake Jesus
Denise Ali,Male,February,1981,Middle Class,community,Household,167.77,Bates-Smith,Brand B,Credit Card,Proofreader,112161.91,9810109.94,Master,Illinois,East Amandamouth
Jennifer Galvan,Female,March,1992,Middle Class,environmental,Grocery,130.03,Roberson-Rodriguez,Brand B,Cash,Insurance risk surveyor,127379.72,724695.32,Master,Montana,Donaldsonport
Joy Burke,Female,July,2018,Upper Class,Mrs,Electronics,17.03,Ryan Group,Brand A,Debit Card,Housing manager/officer,54190.92,7931981.21,Master,Delaware,New Brian
Audrey Nunez,Male,August,2000,Middle Class,and,Household,69.96,Taylor-Thompson,Brand B,Debit Card,Immunologist,67209.11,4042418.15,PhD,Indiana,Port Tiffany
Brian Rosario,Female,September,2018,Middle Class,production,Household,58.13,"Miller, Howell and Lopez",Brand C,Cash,Media planner,120394.91,1991923.96,High School,Texas,Lake Taylorhaven
Amy Johnson,Female,February,1977,Middle Class,center,Grocery,173.81,Flores Group,Brand C,Cash,Animator,35736.48,6591740.54,High School,West Virginia,Josephville
Crystal Gonzalez,Female,October,2015,Middle Class,single,Grocery,33.65,"Mills, Fisher and Olsen",Brand A,Credit Card,Tour manager,74162.3,8905916.52,PhD,Mississippi,North Cody
Todd Fox,Female,March,1973,Upper Middle Class,inside,Electronics,179.98,Moon Ltd,Brand B,Debit Card,Microbiologist,76397.37,9739863.48,High School,West Virginia,Markview
Jacob Brown,Female,October,1982,Upper Middle Class,drug,Electronics,141.49,Mcdonald PLC,Brand C,Credit Card,"Teacher, English as a foreign language",74081.63,7993179.72,High School,Pennsylvania,New Debbiefurt
Lori Patterson,Female,October,1990,Upper Middle Class,yeah,Household,162.22,Mosley-Diaz,Brand A,Debit Card,Licensed conveyancer,117249.76,881377.36,High School,Massachusetts,Phillipsborough
Roger Newman,Male,November,1972,Middle Class,significant,Personal Care,113.64,Schneider Group,Brand D,Debit Card,Visual merchandiser,68545.37,892682.22,Master,West Virginia,Christianville
Mario Simmons,Female,February,2017,Middle Class,interview,Household,68.23,Morris-Wright,Brand D,Debit Card,Financial trader,102314.6,4318549.12,Master,Maryland,Callahanside
Sharon Bowman,Female,July,1999,Upper Class,huge,Personal Care,76.79,Lucero-Mitchell,Brand D,Debit Card,Firefighter,35082.62,8713368.03,PhD,New Jersey,South Caroline
Bryce Casey,Female,April,1994,Upper Class,year,Electronics,126.82,"Hernandez, Bradley and Michael",Brand B,Credit Card,Accommodation manager,82192.86,6430746.17,Master,Montana,New Larry
Kathleen Cooke,Male,May,1974,Upper Class,area,Personal Care,24.26,Phillips Group,Brand B,Cash,Cytogeneticist,106501.5,3696780.19,High School,Oregon,Lake Shawntown
Jennifer Wade,Male,October,2021,Upper Class,cup,Electronics,191.03,"Ponce, Martin and Hampton",Brand A,Cash,Chartered accountant,47133.54,6114971.74,High School,Massachusetts,Smithborough
Antonio Wood,Female,July,1972,Middle Class,stage,Household,16.61,Frazier Ltd,Brand A,Debit Card,"Surveyor, commercial/residential",38068.0,7807302.2,Bachelor,Connecticut,Natashaton
David Grant,Female,August,1980,Upper Middle Class,could,Grocery,78.81,Turner-Banks,Brand D,Debit Card,Biomedical engineer,143936.05,420614.71,PhD,Kentucky,Port Kristinfurt
David Vargas,Male,February,2007,Upper Middle Class,coach,Grocery,139.02,Allen PLC,Brand D,Debit Card,Water engineer,143858.82,3782932.45,Master,Alabama,North Kenneth
Nicholas Hartman,Male,December,1981,Upper Class,firm,Household,119.05,"Kent, Brown and Warren",Brand C,Cash,Geophysical data processor,93535.19,4040537.05,Bachelor,Oregon,Wrightstad
Faith Smith,Female,February,1970,Upper Class,here,Electronics,57.43,"Garcia, Mclean and Wilson",Brand B,Debit Card,Petroleum engineer,43613.83,7383181.11,High School,Virginia,Port Jimmymouth
Jill Rodriguez,Female,June,1981,Upper Class,discussion,Household,108.37,Ford Inc,Brand C,Cash,Hospital doctor,139625.1,1265833.86,High School,Mississippi,North Matthew
Catherine Harvey,Female,February,2007,Upper Class,out,Personal Care,143.77,"Patterson, Carter and Harris",Brand D,Debit Card,"Research officer, government",55748.45,6157584.11,Bachelor,Maine,New Tracishire
Michael Garrett,Female,August,1985,Upper Class,woman,Household,48.03,Davila PLC,Brand D,Cash,Special educational needs teacher,46287.41,833115.19,High School,Alabama,Erinfurt
Emily Hernandez,Male,November,2020,Upper Middle Class,window,Personal Care,180.75,Cabrera Group,Brand D,Credit Card,Education administrator,83413.34,969128.34,PhD,New Mexico,Catherinechester
Willie Miller,Female,October,2018,Middle Class,single,Household,136.89,Davidson Group,Brand B,Cash,Press photographer,115144.86,5544971.76,High School,Kentucky,Baileyberg
Matthew Brown Jr.,Female,June,2018,Middle Class,protect,Grocery,179.35,Sullivan-Williams,Brand B,Debit Card,"Sales professional, IT",132163.45,7146910.13,PhD,Arkansas,East Jonathan
Pamela Kirby,Male,July,1995,Upper Class,student,Electronics,160.8,Graham Group,Brand C,Credit Card,"Editor, magazine features",91050.69,1301488.31,High School,Virginia,North Derrickchester
Beth Jones,Male,February,1981,Upper Middle Class,before,Personal Care,160.49,"Decker, Garcia and Jones",Brand A,Cash,Recruitment consultant,58408.34,4990817.18,Master,Indiana,Lake James
Stephanie Santiago,Female,March,1990,Middle Class,memory,Grocery,115.26,Johnson-Hoover,Brand A,Credit Card,Quantity surveyor,74269.34,8056251.09,Bachelor,Mississippi,South Jared
Richard Owen,Male,September,2009,Upper Class,least,Electronics,126.27,Salazar-Anderson,Brand D,Cash,Immunologist,40345.86,3161978.1,Bachelor,New Hampshire,New Jeanette
Melissa Romero,Female,January,2010,Upper Class,walk,Personal Care,109.88,Pennington Inc,Brand C,Cash,Charity officer,122299.75,8251060.06,Bachelor,Wisconsin,North Andrew
Jennifer Gray,Male,August,2013,Middle Class,senior,Electronics,33.81,Lopez-Moore,Brand B,Debit Card,Arboriculturist,68043.32,834233.7,High School,Arizona,Lisaton
Ms. Melissa Brown,Female,March,1980,Upper Class,despite,Personal Care,139.22,"Nelson, Cole and Jackson",Brand C,Cash,International aid/development worker,71341.77,8791805.5,PhD,Kansas,Amyville
Jessica Smith,Male,February,1980,Upper Class,less,Electronics,155.88,"Estes, Bright and Richard",Brand C,Cash,Financial risk analyst,45483.95,5078351.49,Bachelor,South Dakota,East Elizabethview
Monica Garner,Male,October,1991,Upper Middle Class,home,Electronics,167.96,Davidson and Sons,Brand D,Credit Card,Toxicologist,92172.26,3110832.97,PhD,Missouri,Bretthaven
Matthew Melton,Male,May,2020,Upper Class,race,Grocery,71.31,"Fisher, Sanders and Smith",Brand C,Cash,Retail buyer,115119.86,3525628.52,Master,Texas,Arthurstad
Toni Rivera,Female,March,2023,Upper Class,central,Grocery,170.73,Tate LLC,Brand A,Debit Card,"Copywriter, advertising",60072.64,6387065.2,High School,Iowa,North Cassandra
Kristen Michael,Female,February,1976,Upper Middle Class,factor,Personal Care,33.78,Baker Group,Brand B,Debit Card,Industrial buyer,66338.95,5381432.49,Bachelor,Nevada,Sandramouth
Alyssa Lester,Male,January,1973,Upper Middle Class,step,Electronics,122.44,"Thomas, Cook and Roberts",Brand B,Credit Card,Passenger transport manager,99677.58,1794886.17,Master,Rhode Island,North Stephaniefort
